2026-05-23 12:06:19.545 [main] INFO  c.a.FinancialAuditSystemApplication - Starting FinancialAuditSystemApplication using Java 17.0.8 with PID 29816 (R:\projectCUNew\financial-audit-system\target\classes started by tripa in R:\projectCUNew\financial-audit-system)
2026-05-23 12:06:19.553 [main] DEBUG c.a.FinancialAuditSystemApplication - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-05-23 12:06:19.554 [main] INFO  c.a.FinancialAuditSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-23 12:06:20.565 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-23 12:06:20.672 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 94 ms. Found 4 JPA repository interfaces.
2026-05-23 12:06:21.435 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-05-23 12:06:21.447 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-23 12:06:21.447 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-05-23 12:06:21.524 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-23 12:06:21.524 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1894 ms
2026-05-23 12:06:21.586 [main] DEBUG c.a.security.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2026-05-23 12:06:21.726 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-05-23 12:06:21.799 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2026-05-23 12:06:21.847 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-05-23 12:06:22.119 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-23 12:06:22.150 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-23 12:06:22.334 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@14b95942
2026-05-23 12:06:22.336 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-23 12:06:22.404 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-23 12:06:23.327 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-23 12:06:23.411 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-23 12:06:23.979 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-05-23 12:06:24.461 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-23 12:06:24.852 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1b6daf20, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41a3656f, org.springframework.security.web.context.SecurityContextHolderFilter@2a12048d, org.springframework.security.web.header.HeaderWriterFilter@3453cf27, org.springframework.web.filter.CorsFilter@5086e144, org.springframework.security.web.authentication.logout.LogoutFilter@276ac94c, com.auditSystem.security.JwtAuthenticationFilter@441fbe89, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@12e8c5c4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@27a717a7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@557fe039, org.springframework.security.web.session.SessionManagementFilter@295e9aef, org.springframework.security.web.access.ExceptionTranslationFilter@75c8855e, org.springframework.security.web.access.intercept.AuthorizationFilter@27bfa57f]
2026-05-23 12:06:25.168 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-05-23 12:06:25.176 [main] INFO  c.a.FinancialAuditSystemApplication - Started FinancialAuditSystemApplication in 6.268 seconds (process running for 6.943)
